JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 28856.000,   987.260,   343.597,     1.536,     0.000,     0.000,     0.000,     0.250,    37.077,   683.800,     1.000,     0.067,     1.674,     2.394,     0.000,   279.981,   307.199,    -8.567,   -21.046,     0.000,         0.000,
 28857.000,   441.175,   343.637,     1.544,     0.000,     0.000,     0.000,     0.250,    37.117,   683.800,     1.000,     0.069,     1.707,   -69.141,     0.000,   240.142,   296.936,    14.558,    -2.210,     0.000,         0.000,
 28858.000,   128.192,   343.637,     1.448,     0.000,     0.000,     0.000,     0.250,    37.117,   683.800,     1.000,     0.077,     1.602,   -45.830,     0.000,   254.999,   299.456,     6.352,    -4.978,     0.000,         0.000,
 28859.000,    19.654,   343.620,     1.512,     0.000,     0.000,     0.000,     0.250,    37.100,   683.800,     1.000,     0.083,     1.636,   -49.289,     0.000,   245.287,   298.366,     8.858,   -12.648,     0.000,         0.000,
 28860.000,  1306.417,   343.605,     1.555,     0.000,     0.000,     0.000,     0.250,    37.085,   683.800,     1.000,     0.084,     1.685,   -25.978,     0.000,   263.564,   302.306,    -1.946,   -10.819,     0.000,         0.000,
 28861.000,   468.847,   343.607,     1.080,     0.000,     0.000,     0.000,     0.250,    37.087,   683.800,     1.000,     0.083,     1.293,   -29.491,     0.000,   252.498,   301.755,    -1.220,   -18.546,     0.000,         0.000,
 28862.000,   976.724,   343.587,     1.151,     0.000,     0.000,     0.000,     0.250,    37.067,   683.800,     1.000,     0.095,     1.289,   -99.138,     0.000,   222.826,   287.110,    21.428,    13.427,     0.000,         0.000,
 28863.000,   846.751,   343.532,     1.075,     0.000,     0.000,     0.000,     0.250,    37.012,   683.800,     1.000,     0.111,     1.362,   -59.138,     0.000,   243.296,   293.268,    15.179,    -6.013,     0.000,         0.000,
 28864.000,   508.078,   343.507,     1.170,     0.000,     0.000,     0.000,     0.250,    36.987,   669.700,     1.000,     0.115,     1.475,   -21.377,     0.000,   259.358,   301.772,    -2.684,   -18.353,     0.000,         0.000,
 28865.000,   339.057,   343.500,     1.223,     0.000,     0.000,     0.000,     0.250,    36.980,   669.700,     1.000,     0.122,     1.582,   -66.808,     0.000,   244.947,   289.612,    21.127,     1.017,     0.000,         0.000,
 28866.000,    69.250,   343.455,     1.268,     0.000,     0.000,     0.000,     0.250,    36.935,   669.700,     1.000,     0.140,     1.377,  -100.055,     0.000,   221.091,   277.754,    17.689,    25.703,     0.000,         0.000,
 28867.000,   618.258,   343.376,     1.246,     0.000,     0.000,     0.000,     0.250,    36.856,   669.700,     1.000,     0.162,     1.321,  -104.195,     0.000,   199.247,   272.178,    10.695,    20.569,     0.000,         0.000,
 28868.000,  1144.666,   343.274,     0.998,     0.000,     0.000,     0.000,     0.250,    36.754,   669.700,     1.000,     0.181,     1.164,   -77.590,     0.000,   224.647,   277.658,    12.829,    11.750,     0.000,         0.000,
