datetime,sim_total_release_mgd,sim_inflow_mgd,sim_storage_mg,obs_inflow_mgd,obs_release_mgd,obs_storage_mg
1/17/1999,32.315789505999426,563.0483999999999,40697.99443720433,416.6263777,7.751188423,
1/18/1999,32.315789505999426,1383.7102000000002,41836.519315899415,1033.49179,9.04305316,
1/19/1999,35.547368395197616,3982.6729,45410.863360701296,3028.776876159084,12.91864737,
1/20/1999,35.54736839520222,1626.0458000000003,46643.41106646375,1240.836079996076,8.397120791,
1/21/1999,35.54736839520046,1208.4186000000002,47534.46281182381,921.7454899,7.751188423,
1/22/1999,35.5473684,1301.9893000000002,48503.265778825924,983.1090649,8.397120791,
1/23/1999,35.54736839520012,2334.0593,50334.07935348013,1767.9168927377718,9.688985528,
1/24/1999,38.77894740720122,5986.7817,56032.87127856359,4599.038464118719,21.31576816,
1/25/1999,38.77894740719562,4475.1133,60041.10126197157,3458.321901248824,16.14830921,
1/26/1999,38.77894740719892,2370.1392,62004.62361474831,1831.864197224816,11.62678263,
1/27/1999,38.77894740719449,1717.3727000000001,63191.789792853604,1316.410167117128,10.3349179,
1/28/1999,38.77894740719949,1418.4115000000002,64073.683160029315,1077.415190751408,10.3349179,
1/29/1999,38.77894740720313,1150.5808000000002,64687.74582720503,869.4249680763761,9.688985528,
1/30/1999,38.778947407202615,822.8780999999999,65003.15790544986,618.8032091,9.04305316,
1/31/1999,38.778947407202274,587.4360399999999,65078.18433670783,439.2340106,8.397120791,
2/1/1999,38.77894740720324,537.4913999999999,65274.86930420133,398.5402714,7.751188423,
2/2/1999,38.77894740720131,1162.6610000000003,66097.72716889452,867.487171,10.98085027,
2/3/1999,38.77894740720267,1253.5619000000002,67123.49455621492,939.8315962,10.3349179,
2/4/1999,38.77894740720034,892.2168599999999,67795.28445729786,670.4777986,9.688985528,
2/5/1999,38.77894740720043,808.0627399999998,68376.39883,605.8845617,9.04305316,
2/6/1999,38.77894741,721.3353999999999,68857.80818850912,538.7075954,9.04305316,
2/7/1999,38.77894740720142,684.5354999999998,69285.62535223458,510.2865712,8.397120791,
2/8/1999,38.778947407200256,633.6092999999998,69646.27308949704,471.530629,8.397120791,
2/9/1999,38.77894741,535.6923999999999,69729.37850463363,397.894339,8.397120791,
2/10/1999,38.77894740720313,501.0873700000001,69693.94774180933,371.4111119,7.751188423,
2/11/1999,38.77894740720313,489.77612000000005,69647.20572898503,362.3680588,7.751188423,
2/12/1999,38.77894740720313,544.7287599999999,69655.41635616074,403.061798,9.04305316,
2/13/1999,38.77894740720313,722.6263399999999,69841.52456333645,536.1238659,9.688985528,
2/14/1999,38.77894740720313,517.8559599999999,69822.86239051216,384.3297593,8.397120791,
2/15/1999,38.77894740720313,462.57830000000007,69748.92255768787,342.99008770323604,7.751188423,
2/16/1999,38.77894740720313,470.17334000000005,69682.57776486357,347.51161428312804,8.397120791,
2/17/1999,38.77894740720313,486.1309800000001,69632.19061203928,359.1383969,8.397120791,
2/18/1999,38.77894740720313,450.37088000000006,69546.04336,332.6551698,8.397120791,
2/19/1999,38.77894740720313,422.67580000000004,69432.20103,311.985334,7.751188423,
